# LimeTorrents - Popular Torrent Site (Comprehensive Block List)
# Main domains
0.0.0.0 limetorrents.info
0.0.0.0 www.limetorrents.info
0.0.0.0 limetorrents.cc
0.0.0.0 www.limetorrents.cc
0.0.0.0 limetorrents.asia
0.0.0.0 www.limetorrents.asia

# Alternative domains
0.0.0.0 limetorrents.com
0.0.0.0 www.limetorrents.com
0.0.0.0 limetorrents.org
0.0.0.0 www.limetorrents.org
0.0.0.0 limetorrents.net
0.0.0.0 www.limetorrents.net
0.0.0.0 limetorrents.me
0.0.0.0 www.limetorrents.me
0.0.0.0 limetorrents.co
0.0.0.0 www.limetorrents.co

# Mobile and app domains
0.0.0.0 m.limetorrents.info
0.0.0.0 mobile.limetorrents.info
0.0.0.0 app.limetorrents.info
0.0.0.0 api.limetorrents.info

# Common subdomain variations
0.0.0.0 search.limetorrents.info
0.0.0.0 browse.limetorrents.info
0.0.0.0 movies.limetorrents.info
0.0.0.0 tv.limetorrents.info
0.0.0.0 games.limetorrents.info
0.0.0.0 software.limetorrents.info
0.0.0.0 music.limetorrents.info
0.0.0.0 apps.limetorrents.info
0.0.0.0 anime.limetorrents.info
0.0.0.0 xxx.limetorrents.info
0.0.0.0 download.limetorrents.info
0.0.0.0 torrent.limetorrents.info
0.0.0.0 magnet.limetorrents.info
0.0.0.0 trending.limetorrents.info
0.0.0.0 popular.limetorrents.info
0.0.0.0 latest.limetorrents.info
0.0.0.0 new.limetorrents.info
0.0.0.0 recent.limetorrents.info
0.0.0.0 top.limetorrents.info

# Static content and CDN
0.0.0.0 static.limetorrents.info
0.0.0.0 cdn.limetorrents.info
0.0.0.0 assets.limetorrents.info
0.0.0.0 img.limetorrents.info
0.0.0.0 images.limetorrents.info
0.0.0.0 thumbs.limetorrents.info
0.0.0.0 covers.limetorrents.info
0.0.0.0 posters.limetorrents.info

# User and community features
0.0.0.0 user.limetorrents.info
0.0.0.0 profile.limetorrents.info
0.0.0.0 account.limetorrents.info
0.0.0.0 login.limetorrents.info
0.0.0.0 register.limetorrents.info
0.0.0.0 upload.limetorrents.info

# RSS and feeds
0.0.0.0 rss.limetorrents.info
0.0.0.0 feed.limetorrents.info
0.0.0.0 feeds.limetorrents.info

# Administrative and backend
0.0.0.0 admin.limetorrents.info
0.0.0.0 beta.limetorrents.info
0.0.0.0 test.limetorrents.info
0.0.0.0 dev.limetorrents.info
0.0.0.0 staging.limetorrents.info

# Mirror and proxy variations
0.0.0.0 limetorrentsmirror.com
0.0.0.0 www.limetorrentsmirror.com
0.0.0.0 limetorrentsproxy.com
0.0.0.0 www.limetorrentsproxy.com
0.0.0.0 limetorrentsunblocked.com
0.0.0.0 www.limetorrentsunblocked.com

# Alternative naming conventions
0.0.0.0 lime-torrents.com
0.0.0.0 www.lime-torrents.com
0.0.0.0 lime_torrents.com
0.0.0.0 www.lime_torrents.com
0.0.0.0 limetorrent.com
0.0.0.0 www.limetorrent.com
0.0.0.0 limetorrent.info
0.0.0.0 www.limetorrent.info

# Country-specific domains
0.0.0.0 limetorrents.us
0.0.0.0 www.limetorrents.us
0.0.0.0 limetorrents.uk
0.0.0.0 www.limetorrents.uk
0.0.0.0 limetorrents.eu
0.0.0.0 www.limetorrents.eu
0.0.0.0 limetorrents.ca
0.0.0.0 www.limetorrents.ca
0.0.0.0 limetorrents.au
0.0.0.0 www.limetorrents.au
0.0.0.0 limetorrents.de
0.0.0.0 www.limetorrents.de
0.0.0.0 limetorrents.fr
0.0.0.0 www.limetorrents.fr
0.0.0.0 limetorrents.it
0.0.0.0 www.limetorrents.it
0.0.0.0 limetorrents.es
0.0.0.0 www.limetorrents.es
0.0.0.0 limetorrents.nl
