# Nykaa - Beauty and fashion e-commerce platform (Comprehensive Block List)
# Main domains
0.0.0.0 nykaa.com
0.0.0.0 www.nykaa.com

# Nykaa sub-platforms based on research
0.0.0.0 nykaafashion.com
0.0.0.0 www.nykaafashion.com
0.0.0.0 nykaaman.com
0.0.0.0 www.nykaaman.com
0.0.0.0 nykdbynykaa.com
0.0.0.0 www.nykdbynykaa.com
0.0.0.0 superstore.in
0.0.0.0 www.superstore.in
0.0.0.0 twentydresses.com
0.0.0.0 www.twentydresses.com
0.0.0.0 pipabella.com
0.0.0.0 www.pipabella.com
0.0.0.0 gloot.co.in
0.0.0.0 www.gloot.co.in
0.0.0.0 kicaactive.com
0.0.0.0 www.kicaactive.com
0.0.0.0 lbb.in
0.0.0.0 www.lbb.in
0.0.0.0 lbbshop.in
0.0.0.0 www.lbbshop.in
0.0.0.0 iykykclub.com
0.0.0.0 www.iykykclub.com
0.0.0.0 gajragang.com
0.0.0.0 www.gajragang.com

# International expansion (Nysaa in GCC)
0.0.0.0 nysaa.com
0.0.0.0 www.nysaa.com

# Mobile and app related
0.0.0.0 m.nykaa.com
0.0.0.0 mobile.nykaa.com
0.0.0.0 app.nykaa.com
0.0.0.0 apps.nykaa.com
0.0.0.0 android.nykaa.com
0.0.0.0 ios.nykaa.com

# API endpoints (based on "One Nykaa, One Data" research)
0.0.0.0 api.nykaa.com
0.0.0.0 api1.nykaa.com
0.0.0.0 api2.nykaa.com
0.0.0.0 apis.nykaa.com
0.0.0.0 mapi.nykaa.com
0.0.0.0 gateway.nykaa.com
0.0.0.0 rest.nykaa.com

# Content delivery networks (CDN) - based on ImageKit.io research
0.0.0.0 cdn.nykaa.com
0.0.0.0 cdn1.nykaa.com
0.0.0.0 cdn2.nykaa.com
0.0.0.0 cdn3.nykaa.com
0.0.0.0 static.nykaa.com
0.0.0.0 static1.nykaa.com
0.0.0.0 static2.nykaa.com
0.0.0.0 assets.nykaa.com
0.0.0.0 media.nykaa.com
0.0.0.0 content.nykaa.com

# Image servers (based on ImageKit.io case study)
0.0.0.0 img.nykaa.com
0.0.0.0 img1.nykaa.com
0.0.0.0 img2.nykaa.com
0.0.0.0 img3.nykaa.com
0.0.0.0 images.nykaa.com
0.0.0.0 images-static.nykaa.com
0.0.0.0 pics.nykaa.com
0.0.0.0 photos.nykaa.com
0.0.0.0 video.nykaa.com
0.0.0.0 videos.nykaa.com

# Analytics and tracking
0.0.0.0 analytics.nykaa.com
0.0.0.0 tracking.nykaa.com
0.0.0.0 track.nykaa.com
0.0.0.0 tracker.nykaa.com
0.0.0.0 metrics.nykaa.com
0.0.0.0 stats.nykaa.com
0.0.0.0 pixel.nykaa.com
0.0.0.0 beacon.nykaa.com
0.0.0.0 data.nykaa.com
0.0.0.0 events.nykaa.com

# Shopping and commerce
0.0.0.0 shop.nykaa.com
0.0.0.0 store.nykaa.com
0.0.0.0 cart.nykaa.com
0.0.0.0 checkout.nykaa.com
0.0.0.0 payment.nykaa.com
0.0.0.0 payments.nykaa.com
0.0.0.0 pay.nykaa.com
0.0.0.0 wallet.nykaa.com

# User authentication and security
