# Tata CLiQ - Premium e-commerce and fashion platform (Comprehensive Block List)
# Main domains
0.0.0.0 tatacliq.com
0.0.0.0 www.tatacliq.com

# Luxury platform (based on luxury.tatacliq.com research)
0.0.0.0 luxury.tatacliq.com
0.0.0.0 www.luxury.tatacliq.com

# Mobile and app related
0.0.0.0 m.tatacliq.com
0.0.0.0 mobile.tatacliq.com
0.0.0.0 app.tatacliq.com
0.0.0.0 apps.tatacliq.com
0.0.0.0 android.tatacliq.com
0.0.0.0 ios.tatacliq.com

# API endpoints
0.0.0.0 api.tatacliq.com
0.0.0.0 api1.tatacliq.com
0.0.0.0 api2.tatacliq.com
0.0.0.0 apis.tatacliq.com
0.0.0.0 mapi.tatacliq.com
0.0.0.0 gateway.tatacliq.com
0.0.0.0 rest.tatacliq.com

# Content delivery networks (CDN)
0.0.0.0 cdn.tatacliq.com
0.0.0.0 cdn1.tatacliq.com
0.0.0.0 cdn2.tatacliq.com
0.0.0.0 cdn3.tatacliq.com
0.0.0.0 static.tatacliq.com
0.0.0.0 static1.tatacliq.com
0.0.0.0 static2.tatacliq.com
0.0.0.0 assets.tatacliq.com
0.0.0.0 media.tatacliq.com
0.0.0.0 content.tatacliq.com

# Image and media servers
0.0.0.0 img.tatacliq.com
0.0.0.0 img1.tatacliq.com
0.0.0.0 img2.tatacliq.com
0.0.0.0 img3.tatacliq.com
0.0.0.0 images.tatacliq.com
0.0.0.0 pics.tatacliq.com
0.0.0.0 photos.tatacliq.com
0.0.0.0 video.tatacliq.com
0.0.0.0 videos.tatacliq.com

# Analytics and tracking
0.0.0.0 analytics.tatacliq.com
0.0.0.0 tracking.tatacliq.com
0.0.0.0 track.tatacliq.com
0.0.0.0 tracker.tatacliq.com
0.0.0.0 metrics.tatacliq.com
0.0.0.0 stats.tatacliq.com
0.0.0.0 pixel.tatacliq.com
0.0.0.0 beacon.tatacliq.com
0.0.0.0 data.tatacliq.com
0.0.0.0 events.tatacliq.com

# Shopping and commerce
0.0.0.0 shop.tatacliq.com
0.0.0.0 store.tatacliq.com
0.0.0.0 cart.tatacliq.com
0.0.0.0 checkout.tatacliq.com
0.0.0.0 payment.tatacliq.com
0.0.0.0 payments.tatacliq.com
0.0.0.0 pay.tatacliq.com
0.0.0.0 wallet.tatacliq.com

# User authentication and security
0.0.0.0 login.tatacliq.com
0.0.0.0 auth.tatacliq.com
0.0.0.0 secure.tatacliq.com
0.0.0.0 ssl.tatacliq.com
0.0.0.0 accounts.tatacliq.com
0.0.0.0 account.tatacliq.com
0.0.0.0 profile.tatacliq.com
0.0.0.0 user.tatacliq.com
0.0.0.0 users.tatacliq.com

# Support and help
0.0.0.0 support.tatacliq.com
0.0.0.0 help.tatacliq.com
0.0.0.0 customer.tatacliq.com
0.0.0.0 service.tatacliq.com
0.0.0.0 care.tatacliq.com
0.0.0.0 faq.tatacliq.com
0.0.0.0 feedback.tatacliq.com

# Search and recommendation
0.0.0.0 search.tatacliq.com
0.0.0.0 suggest.tatacliq.com
0.0.0.0 recommendation.tatacliq.com
0.0.0.0 reco.tatacliq.com
0.0.0.0 personalization.tatacliq.com

# Email and notifications
0.0.0.0 mail.tatacliq.com
0.0.0.0 email.tatacliq.com
0.0.0.0 newsletter.tatacliq.com
0.0.0.0 notifications.tatacliq.com
0.0.0.0 push.tatacliq.com

# Social and community
0.0.0.0 social.tatacliq.com
0.0.0.0 community.tatacliq.com
0.0.0.0 blog.tatacliq.com
0.0.0.0 stories.tatacliq.com
0.0.0.0 reviews.tatacliq.com
0.0.0.0 share.tatacliq.com

# Admin and backend
0.0.0.0 admin.tatacliq.com
0.0.0.0 manage.tatacliq.com
0.0.0.0 dashboard.tatacliq.com
0.0.0.0 console.tatacliq.com
0.0.0.0 backend.tatacliq.com

# Geographic and regional
0.0.0.0 in.tatacliq.com
