# aha - Telugu and Tamil streaming platform by Arha Media & Broadcasting (Comprehensive Block List)
# Main domains
0.0.0.0 aha.video
0.0.0.0 www.aha.video

# Mobile and app related
0.0.0.0 m.aha.video
0.0.0.0 mobile.aha.video
0.0.0.0 app.aha.video
0.0.0.0 apps.aha.video
0.0.0.0 android.aha.video
0.0.0.0 ios.aha.video

# API endpoints
0.0.0.0 api.aha.video
0.0.0.0 gateway.aha.video
0.0.0.0 data.aha.video
0.0.0.0 oauth.aha.video
0.0.0.0 auth.aha.video

# User authentication and accounts
0.0.0.0 accounts.aha.video
0.0.0.0 signin.aha.video
0.0.0.0 login.aha.video
0.0.0.0 myaccount.aha.video
0.0.0.0 profile.aha.video
0.0.0.0 profiles.aha.video

# Video streaming and playback
0.0.0.0 video.aha.video
0.0.0.0 stream.aha.video
0.0.0.0 streaming.aha.video
0.0.0.0 player.aha.video
0.0.0.0 media.aha.video
0.0.0.0 content.aha.video

# Content delivery network (CDN)
0.0.0.0 cdn.aha.video
0.0.0.0 cdn1.aha.video
0.0.0.0 cdn2.aha.video
0.0.0.0 cdn3.aha.video
0.0.0.0 assets.aha.video
0.0.0.0 images.aha.video
0.0.0.0 thumbs.aha.video
0.0.0.0 thumbnails.aha.video

# Analytics and tracking
0.0.0.0 analytics.aha.video
0.0.0.0 tracking.aha.video
0.0.0.0 metrics.aha.video
0.0.0.0 stats.aha.video
0.0.0.0 events.aha.video

# Payment and subscription
0.0.0.0 payments.aha.video
0.0.0.0 billing.aha.video
0.0.0.0 subscription.aha.video
0.0.0.0 checkout.aha.video

# Search and recommendations
0.0.0.0 search.aha.video
0.0.0.0 recommend.aha.video
0.0.0.0 suggestions.aha.video

# Social features
0.0.0.0 social.aha.video
0.0.0.0 share.aha.video
0.0.0.0 comments.aha.video

# Telugu specific content
0.0.0.0 telugu.aha.video
0.0.0.0 tollywood.aha.video

# Tamil specific content  
0.0.0.0 tamil.aha.video
0.0.0.0 kollywood.aha.video

# Live streaming
0.0.0.0 live.aha.video
0.0.0.0 livestream.aha.video

# Upload and download
0.0.0.0 upload.aha.video
0.0.0.0 download.aha.video

# Admin and management
0.0.0.0 admin.aha.video
0.0.0.0 dashboard.aha.video
0.0.0.0 cms.aha.video

# Support and help
0.0.0.0 support.aha.video
0.0.0.0 help.aha.video
0.0.0.0 faq.aha.video

# Newsletter and marketing
0.0.0.0 newsletter.aha.video
0.0.0.0 marketing.aha.video
0.0.0.0 promo.aha.video

# AWS infrastructure (likely hosting provider)
0.0.0.0 d1example.cloudfront.net
0.0.0.0 d2example.cloudfront.net
0.0.0.0 d3example.cloudfront.net

# Geetha Arts related domains (parent company)
0.0.0.0 geethaarts.com
0.0.0.0 www.geethaarts.com

# My Home Group related domains (parent company)
0.0.0.0 myhome.in
0.0.0.0 www.myhome.in

# Arha Media related domains
0.0.0.0 arhamedia.com
0.0.0.0 www.arhamedia.com

# Third-party integrations
0.0.0.0 facebook.aha.video
0.0.0.0 twitter.aha.video
0.0.0.0 instagram.aha.video
0.0.0.0 youtube.aha.video

# Development and testing
0.0.0.0 dev.aha.video
0.0.0.0 test.aha.video
0.0.0.0 staging.aha.video
0.0.0.0 beta.aha.video

# Regional subdomains
0.0.0.0 in.aha.video
0.0.0.0 us.aha.video
0.0.0.0 global.aha.video

# Originals and shows
0.0.0.0 originals.aha.video
0.0.0.0 shows.aha.video
0.0.0.0 movies.aha.video

# News and updates
0.0.0.0 news.aha.video
0.0.0.0 updates.aha.video
0.0.0.0 blog.aha.video

# Email services
0.0.0.0 mail.aha.video
0.0.0.0 email.aha.video

# Load balancing and infrastructure
0.0.0.0 lb.aha.video
0.0.0.0 lb1.aha.video
0.0.0.0 lb2.aha.video

# Database and cache
0.0.0.0 db.aha.video
0.0.0.0 cache.aha.video
0.0.0.0 redis.aha.video

# Webhooks and notifications
0.0.0.0 webhooks.aha.video
0.0.0.0 notifications.aha.video
0.0.0.0 push.aha.video

# Security and SSL
0.0.0.0 ssl.aha.video
0.0.0.0 secure.aha.video

# Gift and promotions
0.0.0.0 gift.aha.video
0.0.0.0 gifthoichoi.com
0.0.0.0 promo.aha.video

# Quality and testing
0.0.0.0 qa.aha.video
0.0.0.0 quality.aha.video

# Ads and advertising
0.0.0.0 ads.aha.video
0.0.0.0 advertising.aha.video

# Kids content
0.0.0.0 kids.aha.video
0.0.0.0 children.aha.video

# Voice and audio
0.0.0.0 voice.aha.video
0.0.0.0 audio.aha.video

# Reviews and ratings
0.0.0.0 reviews.aha.video
0.0.0.0 ratings.aha.video

# Subtitles and captions
0.0.0.0 subtitles.aha.video
0.0.0.0 captions.aha.video

# Personalization
0.0.0.0 personalize.aha.video
0.0.0.0 preferences.aha.video

# Watchlist and favorites
0.0.0.0 watchlist.aha.video
0.0.0.0 favorites.aha.video

# Feedback and surveys
