# ALTBalaji (ALTT) - Balaji Telefilms streaming platform (Comprehensive Block List)
# Main domains
0.0.0.0 altbalaji.com
0.0.0.0 www.altbalaji.com
0.0.0.0 altt.co.in
0.0.0.0 www.altt.co.in

# Mobile and app related
0.0.0.0 m.altbalaji.com
0.0.0.0 mobile.altbalaji.com
0.0.0.0 app.altbalaji.com
0.0.0.0 apps.altbalaji.com
0.0.0.0 android.altbalaji.com
0.0.0.0 ios.altbalaji.com

# API endpoints
0.0.0.0 api.altbalaji.com
0.0.0.0 gateway.altbalaji.com
0.0.0.0 data.altbalaji.com
0.0.0.0 oauth.altbalaji.com
0.0.0.0 auth.altbalaji.com

# User authentication and accounts
0.0.0.0 accounts.altbalaji.com
0.0.0.0 signin.altbalaji.com
0.0.0.0 login.altbalaji.com
0.0.0.0 myaccount.altbalaji.com
0.0.0.0 profile.altbalaji.com
0.0.0.0 profiles.altbalaji.com

# Video streaming and playback
0.0.0.0 video.altbalaji.com
0.0.0.0 videos.altbalaji.com
0.0.0.0 streaming.altbalaji.com
0.0.0.0 stream.altbalaji.com
0.0.0.0 player.altbalaji.com
0.0.0.0 playback.altbalaji.com

# Content delivery and assets
0.0.0.0 cdn.altbalaji.com
0.0.0.0 assets.altbalaji.com
0.0.0.0 images.altbalaji.com
0.0.0.0 thumbnails.altbalaji.com
0.0.0.0 artwork.altbalaji.com
0.0.0.0 content.altbalaji.com

# Search and discovery
0.0.0.0 search.altbalaji.com
0.0.0.0 discover.altbalaji.com
0.0.0.0 browse.altbalaji.com
0.0.0.0 catalog.altbalaji.com
0.0.0.0 titles.altbalaji.com

# ALTBalaji Analytics and tracking
0.0.0.0 analytics.altbalaji.com
0.0.0.0 tracking.altbalaji.com
0.0.0.0 metrics.altbalaji.com
0.0.0.0 stats.altbalaji.com
0.0.0.0 insights.altbalaji.com

# DRM and licensing
0.0.0.0 drm.altbalaji.com
0.0.0.0 license.altbalaji.com
0.0.0.0 widevine.altbalaji.com
0.0.0.0 playready.altbalaji.com

# Adaptive streaming
0.0.0.0 dash.altbalaji.com
0.0.0.0 hls.altbalaji.com
0.0.0.0 manifest.altbalaji.com
0.0.0.0 manifests.altbalaji.com

# Downloads and offline
0.0.0.0 download.altbalaji.com
0.0.0.0 downloads.altbalaji.com
0.0.0.0 offline.altbalaji.com

# Live TV and sports
0.0.0.0 live.altbalaji.com
0.0.0.0 livetv.altbalaji.com
0.0.0.0 sports.altbalaji.com

# News content
0.0.0.0 news.altbalaji.com

# Premium and subscription services
0.0.0.0 premium.altbalaji.com
0.0.0.0 subscription.altbalaji.com
0.0.0.0 subscriptions.altbalaji.com

# Kids and family
0.0.0.0 kids.altbalaji.com
0.0.0.0 family.altbalaji.com
0.0.0.0 junior.altbalaji.com

# Smart TV and device specific
0.0.0.0 tv.altbalaji.com
0.0.0.0 firetv.altbalaji.com
0.0.0.0 roku.altbalaji.com
0.0.0.0 chromecast.altbalaji.com
0.0.0.0 appletv.altbalaji.com
0.0.0.0 smarttv.altbalaji.com

# Gaming console integration
0.0.0.0 xbox.altbalaji.com
0.0.0.0 playstation.altbalaji.com
0.0.0.0 nintendo.altbalaji.com

# Support and help
0.0.0.0 help.altbalaji.com
0.0.0.0 support.altbalaji.com
0.0.0.0 customer.altbalaji.com

# Settings and preferences
