# Eros Now - Eros International's Bollywood and South Asian streaming platform (Comprehensive Block List)
# Main domains
0.0.0.0 erosnow.com
0.0.0.0 www.erosnow.com

# Eros ecosystem domains
0.0.0.0 erosplc.com
0.0.0.0 www.erosplc.com
0.0.0.0 erosmediaworld.com
0.0.0.0 www.erosmediaworld.com
0.0.0.0 erosintl.com
0.0.0.0 www.erosintl.com

# Mobile and app related
0.0.0.0 m.erosnow.com
0.0.0.0 mobile.erosnow.com
0.0.0.0 app.erosnow.com
0.0.0.0 apps.erosnow.com
0.0.0.0 android.erosnow.com
0.0.0.0 ios.erosnow.com

# API endpoints
0.0.0.0 api.erosnow.com
0.0.0.0 gateway.erosnow.com
0.0.0.0 data.erosnow.com
0.0.0.0 oauth.erosnow.com
0.0.0.0 auth.erosnow.com

# User authentication and accounts
0.0.0.0 accounts.erosnow.com
0.0.0.0 signin.erosnow.com
0.0.0.0 login.erosnow.com
0.0.0.0 myaccount.erosnow.com
0.0.0.0 profile.erosnow.com
0.0.0.0 profiles.erosnow.com

# Video streaming and playback
0.0.0.0 video.erosnow.com
0.0.0.0 stream.erosnow.com
0.0.0.0 streaming.erosnow.com
0.0.0.0 player.erosnow.com
0.0.0.0 media.erosnow.com
0.0.0.0 content.erosnow.com

# Content delivery network (CDN)
0.0.0.0 cdn.erosnow.com
0.0.0.0 cdn1.erosnow.com
0.0.0.0 cdn2.erosnow.com
0.0.0.0 cdn3.erosnow.com
0.0.0.0 assets.erosnow.com
0.0.0.0 images.erosnow.com
0.0.0.0 thumbs.erosnow.com
0.0.0.0 thumbnails.erosnow.com

# Analytics and tracking
0.0.0.0 analytics.erosnow.com
0.0.0.0 tracking.erosnow.com
0.0.0.0 metrics.erosnow.com
0.0.0.0 stats.erosnow.com
0.0.0.0 events.erosnow.com

# Payment and subscription (based on research showing subscription model)
0.0.0.0 payments.erosnow.com
0.0.0.0 billing.erosnow.com
0.0.0.0 subscription.erosnow.com
0.0.0.0 checkout.erosnow.com

# Search and recommendations
0.0.0.0 search.erosnow.com
0.0.0.0 recommend.erosnow.com
0.0.0.0 suggestions.erosnow.com

# Social features
0.0.0.0 social.erosnow.com
0.0.0.0 share.erosnow.com
0.0.0.0 comments.erosnow.com

# Global and regional variants (based on research showing global presence)
0.0.0.0 us.erosnow.com
0.0.0.0 uk.erosnow.com
0.0.0.0 in.erosnow.com
0.0.0.0 uae.erosnow.com
0.0.0.0 global.erosnow.com
0.0.0.0 international.erosnow.com

# Language specific content (based on research showing multiple languages)
0.0.0.0 hindi.erosnow.com
0.0.0.0 bollywood.erosnow.com
0.0.0.0 tamil.erosnow.com
0.0.0.0 telugu.erosnow.com
0.0.0.0 punjabi.erosnow.com
0.0.0.0 malayalam.erosnow.com
0.0.0.0 kannada.erosnow.com
0.0.0.0 marathi.erosnow.com
0.0.0.0 gujarati.erosnow.com
0.0.0.0 bengali.erosnow.com

# Live streaming
0.0.0.0 live.erosnow.com
0.0.0.0 livestream.erosnow.com

# Upload and download
0.0.0.0 upload.erosnow.com
0.0.0.0 download.erosnow.com

# Admin and management
0.0.0.0 admin.erosnow.com
0.0.0.0 dashboard.erosnow.com
0.0.0.0 cms.erosnow.com

# Support and help (based on research showing support@erosnow.com)
0.0.0.0 support.erosnow.com
0.0.0.0 help.erosnow.com
0.0.0.0 faq.erosnow.com
0.0.0.0 helpcenter.erosnow.com

# Newsletter and marketing
0.0.0.0 newsletter.erosnow.com
0.0.0.0 marketing.erosnow.com
0.0.0.0 promo.erosnow.com

# Eros Digital FZE (based on research showing this subsidiary)
0.0.0.0 erosdigital.com
0.0.0.0 www.erosdigital.com

# Third-party integrations
0.0.0.0 facebook.erosnow.com
0.0.0.0 twitter.erosnow.com
0.0.0.0 instagram.erosnow.com
0.0.0.0 youtube.erosnow.com

# Development and testing
0.0.0.0 dev.erosnow.com
0.0.0.0 test.erosnow.com
0.0.0.0 staging.erosnow.com
0.0.0.0 beta.erosnow.com

# Originals and shows (based on research showing Eros Now Originals)
0.0.0.0 originals.erosnow.com
0.0.0.0 shows.erosnow.com
0.0.0.0 movies.erosnow.com
0.0.0.0 series.erosnow.com

# News and updates
0.0.0.0 news.erosnow.com
0.0.0.0 updates.erosnow.com
0.0.0.0 blog.erosnow.com

# Email services
0.0.0.0 mail.erosnow.com
0.0.0.0 email.erosnow.com

# Load balancing and infrastructure
0.0.0.0 lb.erosnow.com
0.0.0.0 lb1.erosnow.com
0.0.0.0 lb2.erosnow.com

# Database and cache
0.0.0.0 db.erosnow.com
0.0.0.0 cache.erosnow.com
0.0.0.0 redis.erosnow.com
