# Gaana - Times Internet's Indian music streaming platform (Comprehensive Block List) - SHUT DOWN
# Main domains
0.0.0.0 gaana.com
0.0.0.0 www.gaana.com

# Mobile and app related
0.0.0.0 m.gaana.com
0.0.0.0 mobile.gaana.com
0.0.0.0 app.gaana.com
0.0.0.0 apps.gaana.com
0.0.0.0 android.gaana.com
0.0.0.0 ios.gaana.com

# API endpoints
0.0.0.0 api.gaana.com
0.0.0.0 gateway.gaana.com
0.0.0.0 data.gaana.com
0.0.0.0 oauth.gaana.com
0.0.0.0 auth.gaana.com

# User authentication and accounts
0.0.0.0 accounts.gaana.com
0.0.0.0 signin.gaana.com
0.0.0.0 login.gaana.com
0.0.0.0 myaccount.gaana.com
0.0.0.0 profile.gaana.com
0.0.0.0 profiles.gaana.com

# Video streaming and playback
0.0.0.0 video.gaana.com
0.0.0.0 videos.gaana.com
0.0.0.0 stream.gaana.com
0.0.0.0 streams.gaana.com
0.0.0.0 streaming.gaana.com

# Audio streaming and playback
0.0.0.0 audio.gaana.com
0.0.0.0 media.gaana.com
0.0.0.0 play.gaana.com
0.0.0.0 player.gaana.com
0.0.0.0 playback.gaana.com

# CDN infrastructure
0.0.0.0 cdn.gaana.com
0.0.0.0 static.gaana.com
0.0.0.0 assets.gaana.com
0.0.0.0 resources.gaana.com
0.0.0.0 content.gaana.com

# Analytics and tracking
0.0.0.0 analytics.gaana.com
0.0.0.0 stats.gaana.com
0.0.0.0 metrics.gaana.com
0.0.0.0 tracking.gaana.com
0.0.0.0 telemetry.gaana.com

# Search and discovery
0.0.0.0 search.gaana.com
0.0.0.0 discover.gaana.com
0.0.0.0 discovery.gaana.com
0.0.0.0 recommendations.gaana.com
0.0.0.0 recommend.gaana.com

# Advertising and monetization
0.0.0.0 ads.gaana.com
0.0.0.0 advertising.gaana.com
0.0.0.0 adnxs.gaana.com
0.0.0.0 adserver.gaana.com
0.0.0.0 adsystem.gaana.com

# Developer and partner services
0.0.0.0 developer.gaana.com
0.0.0.0 developers.gaana.com
0.0.0.0 partners.gaana.com
0.0.0.0 partner.gaana.com

# Support and help
0.0.0.0 support.gaana.com
0.0.0.0 help.gaana.com
0.0.0.0 customer.gaana.com
0.0.0.0 customerservice.gaana.com

# News and press
