# JioCinema - Video streaming platform by Reliance Jio (Comprehensive Block List)
# Main domains
0.0.0.0 jiocinema.com
0.0.0.0 www.jiocinema.com

# Jio ecosystem domains (based on research showing ns1.media.jio.com)
0.0.0.0 jio.com
0.0.0.0 www.jio.com
0.0.0.0 media.jio.com
0.0.0.0 www.media.jio.com

# DNS servers (based on whois research)
0.0.0.0 ns1.media.jio.com
0.0.0.0 ns2.media.jio.com
0.0.0.0 ns3.media.jio.com
0.0.0.0 ns1.jiocinema.com
0.0.0.0 ns2.jiocinema.com
0.0.0.0 ns3.jiocinema.com

# JioCinema stats and analytics (based on research showing stats.jiocinema.com)
0.0.0.0 stats.jiocinema.com
0.0.0.0 www.stats.jiocinema.com

# Mobile and app related
0.0.0.0 m.jiocinema.com
0.0.0.0 mobile.jiocinema.com
0.0.0.0 app.jiocinema.com
0.0.0.0 apps.jiocinema.com
0.0.0.0 android.jiocinema.com
0.0.0.0 ios.jiocinema.com

# API endpoints
0.0.0.0 api.jiocinema.com
0.0.0.0 gateway.jiocinema.com
0.0.0.0 data.jiocinema.com
0.0.0.0 oauth.jiocinema.com
0.0.0.0 auth.jiocinema.com

# User authentication and accounts
0.0.0.0 accounts.jiocinema.com
0.0.0.0 signin.jiocinema.com
0.0.0.0 login.jiocinema.com
0.0.0.0 myaccount.jiocinema.com
0.0.0.0 profile.jiocinema.com
0.0.0.0 profiles.jiocinema.com

# Video streaming and playback
0.0.0.0 video.jiocinema.com
0.0.0.0 videos.jiocinema.com
0.0.0.0 streaming.jiocinema.com
0.0.0.0 stream.jiocinema.com
0.0.0.0 player.jiocinema.com
0.0.0.0 playback.jiocinema.com

# Content delivery and assets (based on CloudFront research)
0.0.0.0 cdn.jiocinema.com
0.0.0.0 assets.jiocinema.com
0.0.0.0 images.jiocinema.com
0.0.0.0 thumbnails.jiocinema.com
0.0.0.0 artwork.jiocinema.com
0.0.0.0 content.jiocinema.com
0.0.0.0 d2r1yp2w7bby2u.cloudfront.net

# Search and discovery
0.0.0.0 search.jiocinema.com
0.0.0.0 discover.jiocinema.com
0.0.0.0 browse.jiocinema.com
0.0.0.0 catalog.jiocinema.com
0.0.0.0 titles.jiocinema.com

# JioCinema Analytics and tracking
0.0.0.0 analytics.jiocinema.com
0.0.0.0 tracking.jiocinema.com
0.0.0.0 metrics.jiocinema.com
0.0.0.0 insights.jiocinema.com

# DRM and licensing
0.0.0.0 drm.jiocinema.com
0.0.0.0 license.jiocinema.com
0.0.0.0 widevine.jiocinema.com
0.0.0.0 playready.jiocinema.com

# Adaptive streaming
0.0.0.0 dash.jiocinema.com
0.0.0.0 hls.jiocinema.com
0.0.0.0 manifest.jiocinema.com
0.0.0.0 manifests.jiocinema.com

# Downloads and offline
0.0.0.0 download.jiocinema.com
0.0.0.0 downloads.jiocinema.com
0.0.0.0 offline.jiocinema.com

# Live TV and sports (JioCinema specific features)
0.0.0.0 live.jiocinema.com
0.0.0.0 livetv.jiocinema.com
0.0.0.0 sports.jiocinema.com
0.0.0.0 cricket.jiocinema.com
0.0.0.0 ipl.jiocinema.com

# News content
0.0.0.0 news.jiocinema.com

# Premium and subscription services
0.0.0.0 premium.jiocinema.com
0.0.0.0 subscription.jiocinema.com
0.0.0.0 subscriptions.jiocinema.com

# Kids and family
0.0.0.0 kids.jiocinema.com
0.0.0.0 family.jiocinema.com
0.0.0.0 junior.jiocinema.com

# Smart TV and device specific
0.0.0.0 tv.jiocinema.com
0.0.0.0 firetv.jiocinema.com
0.0.0.0 roku.jiocinema.com
0.0.0.0 chromecast.jiocinema.com
0.0.0.0 appletv.jiocinema.com
0.0.0.0 smarttv.jiocinema.com

# Gaming console integration
0.0.0.0 xbox.jiocinema.com
0.0.0.0 playstation.jiocinema.com
0.0.0.0 nintendo.jiocinema.com

# Support and help
0.0.0.0 help.jiocinema.com
0.0.0.0 support.jiocinema.com
0.0.0.0 customer.jiocinema.com

# Settings and preferences
0.0.0.0 settings.jiocinema.com
0.0.0.0 preferences.jiocinema.com
0.0.0.0 config.jiocinema.com

# Watch history and recommendations
0.0.0.0 history.jiocinema.com
0.0.0.0 watchlist.jiocinema.com
0.0.0.0 recommendations.jiocinema.com
0.0.0.0 suggest.jiocinema.com

# Social and sharing features
0.0.0.0 social.jiocinema.com
0.0.0.0 share.jiocinema.com
0.0.0.0 sharing.jiocinema.com

# Notifications and alerts
0.0.0.0 notifications.jiocinema.com
0.0.0.0 alerts.jiocinema.com
0.0.0.0 messages.jiocinema.com

# Billing and payments
0.0.0.0 billing.jiocinema.com
0.0.0.0 payment.jiocinema.com
0.0.0.0 payments.jiocinema.com

# Corporate and press
0.0.0.0 about.jiocinema.com
