# Amazon Prime Video - Video streaming platform (Comprehensive Block List)
# Main domains
0.0.0.0 primevideo.com
0.0.0.0 www.primevideo.com

# Amazon Video legacy domains
0.0.0.0 amazonvideo.com
0.0.0.0 www.amazonvideo.com
0.0.0.0 amazon-video.com
0.0.0.0 www.amazon-video.com

# Prime Video CDN domains (based on research)
0.0.0.0 pv-cdn.net
0.0.0.0 www.pv-cdn.net
0.0.0.0 cf-trickplay.aux.pv-cdn.net
0.0.0.0 aiv-cdn.net
0.0.0.0 www.aiv-cdn.net
0.0.0.0 aiv-delivery.net
0.0.0.0 www.aiv-delivery.net

# Regional API delivery domains (based on research)
0.0.0.0 api.us-east-1.aiv-delivery.net
0.0.0.0 api.eu-west-1.aiv-delivery.net
0.0.0.0 api.ap-southeast-1.aiv-delivery.net
0.0.0.0 api.ap-northeast-1.aiv-delivery.net

# CloudFront DASH video domains (based on research showing S3-CloudFront pattern)
0.0.0.0 *.s3-dub-2.cf.dash.row.aiv-cdn.net
0.0.0.0 *.s3-iad-2.cf.dash.row.aiv-cdn.net
0.0.0.0 *.s3-nrt-2.cf.dash.row.aiv-cdn.net
0.0.0.0 *.s3-sin-2.cf.dash.row.aiv-cdn.net

# Mobile and app related
0.0.0.0 m.primevideo.com
0.0.0.0 mobile.primevideo.com
0.0.0.0 app.primevideo.com
0.0.0.0 apps.primevideo.com
0.0.0.0 android.primevideo.com
0.0.0.0 ios.primevideo.com

# API endpoints
0.0.0.0 api.primevideo.com
0.0.0.0 gateway.primevideo.com
0.0.0.0 data.primevideo.com
0.0.0.0 oauth.primevideo.com
0.0.0.0 auth.primevideo.com

# Amazon TV platform specific (based on research showing atv-ps integration)
0.0.0.0 atv-ps.amazon.com
0.0.0.0 atv-ext.amazon.com
0.0.0.0 atv-ps-eu.amazon.com
0.0.0.0 atv-ps-fe.amazon.com

# User authentication and accounts
0.0.0.0 accounts.primevideo.com
0.0.0.0 signin.primevideo.com
0.0.0.0 login.primevideo.com
0.0.0.0 myaccount.primevideo.com
0.0.0.0 profile.primevideo.com
0.0.0.0 profiles.primevideo.com

# Video streaming and playback
0.0.0.0 video.primevideo.com
0.0.0.0 videos.primevideo.com
0.0.0.0 streaming.primevideo.com
0.0.0.0 stream.primevideo.com
0.0.0.0 player.primevideo.com
0.0.0.0 playback.primevideo.com

# Content delivery and assets
0.0.0.0 cdn.primevideo.com
0.0.0.0 assets.primevideo.com
0.0.0.0 images.primevideo.com
0.0.0.0 thumbnails.primevideo.com
0.0.0.0 artwork.primevideo.com
0.0.0.0 content.primevideo.com

# Search and discovery
0.0.0.0 search.primevideo.com
0.0.0.0 discover.primevideo.com
0.0.0.0 browse.primevideo.com
0.0.0.0 catalog.primevideo.com
0.0.0.0 titles.primevideo.com

# Prime Video Analytics and tracking
0.0.0.0 analytics.primevideo.com
0.0.0.0 tracking.primevideo.com
0.0.0.0 metrics.primevideo.com
0.0.0.0 stats.primevideo.com
0.0.0.0 insights.primevideo.com

# DRM and licensing
0.0.0.0 drm.primevideo.com
0.0.0.0 license.primevideo.com
0.0.0.0 widevine.primevideo.com
0.0.0.0 playready.primevideo.com

# Adaptive streaming
0.0.0.0 dash.primevideo.com
0.0.0.0 hls.primevideo.com
0.0.0.0 manifest.primevideo.com
0.0.0.0 manifests.primevideo.com

# Downloads and offline
0.0.0.0 download.primevideo.com
0.0.0.0 downloads.primevideo.com
0.0.0.0 offline.primevideo.com

# Prime Video Channels and add-ons
0.0.0.0 channels.primevideo.com
0.0.0.0 addons.primevideo.com
0.0.0.0 subscriptions.primevideo.com

# Support and help
0.0.0.0 help.primevideo.com
0.0.0.0 support.primevideo.com
0.0.0.0 customer.primevideo.com

# Settings and preferences
0.0.0.0 settings.primevideo.com
0.0.0.0 preferences.primevideo.com
0.0.0.0 config.primevideo.com

# Watch history and recommendations
0.0.0.0 history.primevideo.com
0.0.0.0 watchlist.primevideo.com
0.0.0.0 recommendations.primevideo.com
0.0.0.0 suggest.primevideo.com

# Social and sharing features
0.0.0.0 social.primevideo.com
0.0.0.0 share.primevideo.com
0.0.0.0 sharing.primevideo.com

# Prime Video Originals and studios
0.0.0.0 originals.primevideo.com
0.0.0.0 studios.primevideo.com
0.0.0.0 amazonoriginals.primevideo.com

# MGM+ integration
0.0.0.0 mgm.primevideo.com
0.0.0.0 mgmplus.primevideo.com

# Live TV and sports
0.0.0.0 live.primevideo.com
0.0.0.0 livetv.primevideo.com
0.0.0.0 sports.primevideo.com
0.0.0.0 nfl.primevideo.com

# Smart TV and device specific
0.0.0.0 tv.primevideo.com
0.0.0.0 firetv.primevideo.com
0.0.0.0 roku.primevideo.com
0.0.0.0 chromecast.primevideo.com
0.0.0.0 appletv.primevideo.com
0.0.0.0 smarttv.primevideo.com

# Gaming console integration
0.0.0.0 xbox.primevideo.com
0.0.0.0 playstation.primevideo.com
0.0.0.0 nintendo.primevideo.com

# Regional Prime Video domains
0.0.0.0 primevideo.co.uk
0.0.0.0 primevideo.ca
0.0.0.0 primevideo.com.au
0.0.0.0 primevideo.de
0.0.0.0 primevideo.fr
0.0.0.0 primevideo.it
0.0.0.0 primevideo.es
