# SoundCloud - German music streaming and audio distribution platform (Comprehensive Block List)
# Main domains
0.0.0.0 soundcloud.com
0.0.0.0 www.soundcloud.com

# Mobile and app related
0.0.0.0 m.soundcloud.com
0.0.0.0 mobile.soundcloud.com
0.0.0.0 app.soundcloud.com
0.0.0.0 apps.soundcloud.com
0.0.0.0 android.soundcloud.com
0.0.0.0 ios.soundcloud.com

# API endpoints (based on research showing extensive API usage)
0.0.0.0 api.soundcloud.com
0.0.0.0 api-v2.soundcloud.com
0.0.0.0 gateway.soundcloud.com
0.0.0.0 data.soundcloud.com
0.0.0.0 oauth.soundcloud.com
0.0.0.0 auth.soundcloud.com

# User authentication and accounts
0.0.0.0 accounts.soundcloud.com
0.0.0.0 signin.soundcloud.com
0.0.0.0 login.soundcloud.com
0.0.0.0 myaccount.soundcloud.com
0.0.0.0 profile.soundcloud.com
0.0.0.0 profiles.soundcloud.com

# Audio streaming and playback (core feature)
0.0.0.0 audio.soundcloud.com
0.0.0.0 media.soundcloud.com
0.0.0.0 play.soundcloud.com
0.0.0.0 player.soundcloud.com
0.0.0.0 playback.soundcloud.com
0.0.0.0 stream.soundcloud.com
0.0.0.0 streams.soundcloud.com
0.0.0.0 streaming.soundcloud.com

# CDN infrastructure (based on research showing global CDN usage)
0.0.0.0 cdn.soundcloud.com
0.0.0.0 static.soundcloud.com
0.0.0.0 assets.soundcloud.com
0.0.0.0 resources.soundcloud.com
0.0.0.0 content.soundcloud.com

# SoundCloud specific CDN domains
0.0.0.0 i1.sndcdn.com
0.0.0.0 i2.sndcdn.com
0.0.0.0 i3.sndcdn.com
0.0.0.0 i4.sndcdn.com
0.0.0.0 i5.sndcdn.com
0.0.0.0 a1.sndcdn.com
0.0.0.0 a2.sndcdn.com
0.0.0.0 a3.sndcdn.com
0.0.0.0 a4.sndcdn.com
0.0.0.0 a5.sndcdn.com
0.0.0.0 cf-media.sndcdn.com
0.0.0.0 cf-hls-media.sndcdn.com

# Analytics and tracking
0.0.0.0 analytics.soundcloud.com
0.0.0.0 stats.soundcloud.com
0.0.0.0 metrics.soundcloud.com
0.0.0.0 tracking.soundcloud.com
0.0.0.0 telemetry.soundcloud.com

# Search and discovery (key feature)
0.0.0.0 search.soundcloud.com
0.0.0.0 discover.soundcloud.com
0.0.0.0 discovery.soundcloud.com
0.0.0.0 recommendations.soundcloud.com
0.0.0.0 recommend.soundcloud.com

# Advertising and monetization
0.0.0.0 ads.soundcloud.com
0.0.0.0 advertising.soundcloud.com
0.0.0.0 adnxs.soundcloud.com
0.0.0.0 adserver.soundcloud.com
0.0.0.0 adsystem.soundcloud.com

# Developer and partner services (popular for indie creators)
0.0.0.0 developer.soundcloud.com
0.0.0.0 developers.soundcloud.com
0.0.0.0 partners.soundcloud.com
0.0.0.0 partner.soundcloud.com

# Support and help
0.0.0.0 support.soundcloud.com
0.0.0.0 help.soundcloud.com
0.0.0.0 customer.soundcloud.com
0.0.0.0 customerservice.soundcloud.com

# News and press
0.0.0.0 news.soundcloud.com
0.0.0.0 press.soundcloud.com
0.0.0.0 newsroom.soundcloud.com
0.0.0.0 blog.soundcloud.com

