# Spotify - Swedish music streaming platform (Comprehensive Block List)
# Main domains
0.0.0.0 spotify.com
0.0.0.0 www.spotify.com

# Mobile and app related
0.0.0.0 m.spotify.com
0.0.0.0 mobile.spotify.com
0.0.0.0 app.spotify.com
0.0.0.0 apps.spotify.com
0.0.0.0 android.spotify.com
0.0.0.0 ios.spotify.com

# API endpoints (based on research showing api endpoints)
0.0.0.0 api.spotify.com
0.0.0.0 gateway.spotify.com
0.0.0.0 data.spotify.com
0.0.0.0 oauth.spotify.com
0.0.0.0 auth.spotify.com

# User authentication and accounts
0.0.0.0 accounts.spotify.com
0.0.0.0 signin.spotify.com
0.0.0.0 login.spotify.com
0.0.0.0 myaccount.spotify.com
0.0.0.0 profile.spotify.com
0.0.0.0 profiles.spotify.com

# Video streaming and playback
0.0.0.0 video.spotify.com
0.0.0.0 videos.spotify.com
0.0.0.0 stream.spotify.com
0.0.0.0 streams.spotify.com
0.0.0.0 streaming.spotify.com

# Audio streaming and playback
0.0.0.0 audio.spotify.com
0.0.0.0 media.spotify.com
0.0.0.0 play.spotify.com
0.0.0.0 player.spotify.com
0.0.0.0 playback.spotify.com

# Fastly CDN infrastructure (based on research showing Fastly usage)
0.0.0.0 cdn.spotify.com
0.0.0.0 static.spotify.com
0.0.0.0 assets.spotify.com
0.0.0.0 resources.spotify.com
0.0.0.0 content.spotify.com

# SpotifyCDN domains (based on research showing spotifycdn.com)
0.0.0.0 spotifycdn.com
0.0.0.0 www.spotifycdn.com
0.0.0.0 image-cdn-fa.spotifycdn.com
0.0.0.0 image-cdn-fb.spotifycdn.com
0.0.0.0 image-cdn-fc.spotifycdn.com
0.0.0.0 image-cdn-fd.spotifycdn.com
0.0.0.0 image-cdn-fe.spotifycdn.com
0.0.0.0 image-cdn-ff.spotifycdn.com
0.0.0.0 audio-cdn-fa.spotifycdn.com
0.0.0.0 audio-cdn-fb.spotifycdn.com
0.0.0.0 audio-cdn-fc.spotifycdn.com
0.0.0.0 audio-cdn-fd.spotifycdn.com
0.0.0.0 audio-cdn-fe.spotifycdn.com
0.0.0.0 audio-cdn-ff.spotifycdn.com
0.0.0.0 media-cdn-fa.spotifycdn.com
0.0.0.0 media-cdn-fb.spotifycdn.com
0.0.0.0 media-cdn-fc.spotifycdn.com
0.0.0.0 media-cdn-fd.spotifycdn.com
0.0.0.0 media-cdn-fe.spotifycdn.com
0.0.0.0 media-cdn-ff.spotifycdn.com

# Fastly CDN edge servers (based on research showing Fastly infrastructure)
0.0.0.0 a.scdn.co
0.0.0.0 b.scdn.co
0.0.0.0 c.scdn.co
0.0.0.0 d.scdn.co
0.0.0.0 e.scdn.co
0.0.0.0 f.scdn.co
0.0.0.0 g.scdn.co
0.0.0.0 h.scdn.co
0.0.0.0 i.scdn.co
0.0.0.0 j.scdn.co
0.0.0.0 k.scdn.co
0.0.0.0 l.scdn.co
0.0.0.0 m.scdn.co
0.0.0.0 n.scdn.co
0.0.0.0 o.scdn.co
0.0.0.0 p.scdn.co
0.0.0.0 q.scdn.co
0.0.0.0 r.scdn.co
0.0.0.0 s.scdn.co
0.0.0.0 t.scdn.co
0.0.0.0 u.scdn.co
0.0.0.0 v.scdn.co
0.0.0.0 w.scdn.co
0.0.0.0 x.scdn.co
0.0.0.0 y.scdn.co
0.0.0.0 z.scdn.co

# Web Player and Desktop App
0.0.0.0 open.spotify.com
0.0.0.0 web.spotify.com
0.0.0.0 webplayer.spotify.com
0.0.0.0 desktop.spotify.com
0.0.0.0 download.spotify.com
0.0.0.0 downloads.spotify.com

# Analytics and tracking
0.0.0.0 analytics.spotify.com
0.0.0.0 stats.spotify.com
0.0.0.0 metrics.spotify.com
0.0.0.0 tracking.spotify.com
0.0.0.0 telemetry.spotify.com

# Search and discovery
0.0.0.0 search.spotify.com
0.0.0.0 discover.spotify.com
0.0.0.0 discovery.spotify.com
0.0.0.0 recommendations.spotify.com
0.0.0.0 recommend.spotify.com

# Advertising and monetization
0.0.0.0 ads.spotify.com
0.0.0.0 advertising.spotify.com
0.0.0.0 adnxs.spotify.com
0.0.0.0 adserver.spotify.com
0.0.0.0 adsystem.spotify.com

# Developer and partner services
0.0.0.0 developer.spotify.com
0.0.0.0 developers.spotify.com
0.0.0.0 partners.spotify.com
0.0.0.0 partner.spotify.com

# Support and help
0.0.0.0 support.spotify.com
0.0.0.0 help.spotify.com
0.0.0.0 customer.spotify.com
0.0.0.0 customerservice.spotify.com

# News and press
0.0.0.0 news.spotify.com
0.0.0.0 press.spotify.com
0.0.0.0 newsroom.spotify.com
0.0.0.0 blog.spotify.com

# Social and community
0.0.0.0 community.spotify.com
0.0.0.0 social.spotify.com
0.0.0.0 friends.spotify.com
0.0.0.0 connect.spotify.com

# Live and events
0.0.0.0 live.spotify.com
0.0.0.0 events.spotify.com
0.0.0.0 concerts.spotify.com
0.0.0.0 shows.spotify.com

# Podcasts
0.0.0.0 podcasts.spotify.com
0.0.0.0 podcast.spotify.com
0.0.0.0 anchor.fm
0.0.0.0 www.anchor.fm

# Premium and subscription
0.0.0.0 premium.spotify.com
0.0.0.0 subscribe.spotify.com
0.0.0.0 subscription.spotify.com
0.0.0.0 billing.spotify.com

# Artists and creators
0.0.0.0 artists.spotify.com
0.0.0.0 artist.spotify.com
0.0.0.0 creators.spotify.com
0.0.0.0 creator.spotify.com

# Genius integration (based on research)
0.0.0.0 genius.spotify.com
0.0.0.0 lyrics.spotify.com

# Regional domains
0.0.0.0 spotify.co.uk
0.0.0.0 spotify.ca
0.0.0.0 spotify.com.au
0.0.0.0 spotify.de
0.0.0.0 spotify.fr
0.0.0.0 spotify.it
0.0.0.0 spotify.es
0.0.0.0 spotify.se
0.0.0.0 spotify.no
0.0.0.0 spotify.dk
0.0.0.0 spotify.fi
0.0.0.0 spotify.nl
0.0.0.0 spotify.be
0.0.0.0 spotify.ch
0.0.0.0 spotify.at
0.0.0.0 spotify.pl
0.0.0.0 spotify.cz
0.0.0.0 spotify.hu
0.0.0.0 spotify.pt
0.0.0.0 spotify.ie
0.0.0.0 spotify.mx
0.0.0.0 spotify.br
0.0.0.0 spotify.ar
0.0.0.0 spotify.cl
0.0.0.0 spotify.co
0.0.0.0 spotify.pe
0.0.0.0 spotify.ec
0.0.0.0 spotify.uy
0.0.0.0 spotify.py
0.0.0.0 spotify.bo
0.0.0.0 spotify.ve
0.0.0.0 spotify.pa
0.0.0.0 spotify.cr
0.0.0.0 spotify.gt
0.0.0.0 spotify.hn
0.0.0.0 spotify.sv
0.0.0.0 spotify.ni
0.0.0.0 spotify.do
0.0.0.0 spotify.jp
0.0.0.0 spotify.kr
0.0.0.0 spotify.tw
0.0.0.0 spotify.hk
0.0.0.0 spotify.sg
0.0.0.0 spotify.my
0.0.0.0 spotify.th
0.0.0.0 spotify.ph
0.0.0.0 spotify.id
0.0.0.0 spotify.vn
0.0.0.0 spotify.in
0.0.0.0 spotify.ae
0.0.0.0 spotify.sa
0.0.0.0 spotify.eg
0.0.0.0 spotify.ma
0.0.0.0 spotify.tn
0.0.0.0 spotify.dz
0.0.0.0 spotify.jo
0.0.0.0 spotify.lb
0.0.0.0 spotify.kw
0.0.0.0 spotify.qa
0.0.0.0 spotify.bh
0.0.0.0 spotify.om
0.0.0.0 spotify.il
0.0.0.0 spotify.tr
0.0.0.0 spotify.za
0.0.0.0 spotify.ng
0.0.0.0 spotify.ke
0.0.0.0 spotify.gh
0.0.0.0 spotify.ug
0.0.0.0 spotify.tz
0.0.0.0 spotify.zw
0.0.0.0 spotify.mw
0.0.0.0 spotify.zm
0.0.0.0 spotify.na
0.0.0.0 spotify.bw
0.0.0.0 spotify.sz
0.0.0.0 spotify.ls
0.0.0.0 spotify.mu
0.0.0.0 spotify.sc
